Area,Location,Bedrooms,Price
1050,11,2,16200000
1050,11,2,2250000
750,11,1,14500000
575,11,1,19000000
750,11,2,18000000
1400,11,3,17000000
1125,11,2,12000000
900,11,2,12600000
750,11,2,9000000
750,11,2,8800000
600,11,1,6000000
600,11,1,17500000
650,11,2,17200000
600,11,2,21000000
592,11,1,2300000
446,11,1,6900000
446,11,1,2200000
625,11,1,11100000
800,11,2,8000000
500,11,1,6200000
425,11,1,14200000
900,11,2,12500000
975,11,2,12200000
585,11,1,5100000
400,11,1,10000000
575,11,1,9800000
610,11,1,8750000
540,11,1,7800000
600,11,1,7400000
600,11,1,10000000
590,11,1,13500000
800,11,2,9500000
650,11,1,14000000
540,11,1,18500000
1950,11,3,16800000
1050,11,2,25000000
1600,11,3,14500000
650,11,1,14000000
800,11,2,13500000
850,11,2,14000000
750,11,2,7700000
590,11,1,10000000
610,11,1,22500000
1300,11,3,14500000
960,11,2,3425000
1100,11,3,9620000
600,11,1,5300000
600,11,1,13500000
1140,11,3,6022000
1500,11,3,18000000
650,11,1,9100000
980,11,1,9000000
580,11,1,7500000
1122,11,1,11500000
1150,11,3,8100000
2400,11,4,2000000
1150,11,2,9600000
580,11,1,29900000
580,11,1,18900000
635,11,1,7600000
580,11,2,22500000
935,11,2,27500000
732,11,2,28500000
756,11,2,27500000
515,11,1,24000000
580,11,1,9400000
580,11,1,16299999
756,11,2,15000000
635,11,1,27500000
580,11,2,22500000
935,11,2,19500000
935,11,2,15000000
732,11,2,8500000
775,11,2,18400000
770,11,2,8000000
650,11,1,30000000
1000,11,3,8900000
900,11,2,13799999
580,11,1,12500000
500,11,1,16500000
550,11,1,3500000
600,11,1,17700000
580,11,1,2850000
580,11,1,4400000
2250,11,4,15000000
2250,11,4,32000000
1800,11,3,107600000
1200,11,2,79900000
525,11,1,18000000
600,11,1,10000000
900,11,2,12100000
600,11,1,5742000
600,11,1,13000000
1050,11,2,19500000
1100,11,2,2599000
580,11,1,6100000
980,11,2,15100000
580,11,1,3200000
900,11,2,2063000
1250,11,3,2929000
1000,11,2,5200000
925,11,2,8192000
525,11,1,5401000
575,11,1,6798999
325,11,1,39600000
560,11,1,20299999
500,11,2,9500000
450,11,1,3000000
450,11,1,23000000
1150,11,2,12300000
380,11,1,11500000
435,11,1,10000000
650,11,2,9400000
585,11,1,9600000
1250,11,3,7200000
1500,12,3,13500000
1200,12,2,19500000
1400,12,3,17000000
1500,12,3,13500000
1200,12,2,19500000
1400,12,3,20000000
1400,12,3,11500000
960,12,2,11000000
1600,13,3,33700000
715,13,1,10700000
1016,13,2,15000000
1000,13,2,18500000
1100,13,2,17600000
1250,13,2,19600000
1200,13,2,21500000
989,13,2,14500000
440,13,1,10000000
1005,13,2,9500000
757,13,1,7500000
800,13,2,15000000
878,13,1,12500000
650,13,1,13000000
900,13,2,37000000
2300,13,3,19900000
1100,13,2,32100000
1400,13,3,15000000
1016,13,2,15000000
1016,13,2,12700000
1550,13,3,32100000
585,13,1,24500000
632,13,1,17500000
1050,13,2,20500000
1060,13,2,39600000
1600,13,3,18900000
1091,13,2,9500000
585,13,1,9200000
620,13,1,11200000
725,13,1,6000000
725,13,1,6000000
1950,13,3,63000000
2700,13,4,29000000
1050,13,2,12900000
666,13,1,11500000
600,13,1,18500000
1000,13,2,17500000
1070,13,2,10200000
695,13,1,14100000
625,13,1,27000000
765,13,1,39900000
1200,13,2,40000000
775,13,1,20200000
1252,13,2,11200000
700,13,1,15500000
617,13,1,10000000
800,13,2,55000000
600,13,1,3853000
1500,13,3,12000000
600,13,1,12000000
600,13,1,31500000
575,13,1,10500000
510,13,1,11500000
650,13,1,11000000
650,13,1,20000000
1000,13,2,30000000
1200,13,2,36500000
1500,13,2,27500000
1400,13,3,19600000
1010,13,2,30000000
650,13,1,8000000
520,13,1,110000000
1050,13,2,58000000
950,13,1,30000000
1285,13,3,17500000
1500,13,3,16500000
1050,13,3,11800000
430,13,1,17400000
624,13,2,30400000
957,13,3,31000000
1350,13,3,16000000
1039,13,2,7950000
900,13,2,72000000
2800,13,5,55000000
949,13,3,80000000
1270,13,3,17500000
1250,13,3,20500000
1020,13,2,17500000
1020,13,2,4000000
1000,13,2,9500000
650,13,1,16500000
550,13,1,9500000
450,13,1,15400000
662,13,2,24000000
550,13,1,6900000
750,13,2,110000000
1278,13,2,26800000
1787,13,3,22400000
1496,13,2,9100000
1000,13,2,20000000
1200,13,2,17500000
1050,13,2,30900000
1050,13,2,30900000
1100,13,2,36100000
499,13,1,16900000
904,13,2,6000000
1100,13,2,36100000
499,13,1,16900000
904,13,2,6000000
696,13,2,9600000
503,13,2,9400000
495,13,1,9200000
473,13,1,9700000
506,13,2,14600000
698,13,2,10200000
550,13,1,8500000
1090,13,2,13500000
649,13,2,17600000
783,13,3,14000000
623,13,2,12600000
561,13,1,12900000
576,13,2,16800000
751,13,2,16399999
731,13,2,19400000
863,13,3,12300000
547,13,2,10000000
447,13,1,15700000
699,13,2,12500000
557,13,2,13500000
649,13,2,12900000
783,13,3,16800000
623,13,2,16399999
561,13,1,19400000
576,13,2,12300000
751,13,2,10000000
731,13,2,15700000
863,13,3,12500000
547,13,2,4500000
447,13,1,4500000
699,13,2,5500000
557,13,2,3500000
800,13,2,26000000
881,13,2,22000000
800,13,2,28500000
750,13,1,22000000
1500,13,3,16000000
1100,13,2,6300000
800,13,2,9000000
700,13,2,17300000
1200,13,2,11100000
700,13,1,22000000
750,13,2,11000000
850,13,2,12000000
776,13,2,23000000
600,13,1,4600000
1020,13,1,18500000
825,13,1,13500000
1200,13,3,7800000
600,13,1,7500000
1150,13,2,7500000
649,13,2,12500000
783,13,3,3988000
623,13,2,3308000
561,13,1,3661000
447,13,1,2057000
699,13,2,3722999
557,13,2,11500000
649,13,2,16399999
783,13,3,19400000
623,13,2,12300000
561,13,1,10000000
576,13,2,15700000
751,13,2,12500000
731,13,2,3459000
863,13,3,4371000
547,13,2,3574000
447,13,1,4584000
699,13,2,3326000
557,13,2,11500000
1278,13,2,19000000
1278,13,2,19500000
1278,13,2,10500000
1787,13,3,11500000
1278,13,2,16500000
1400,13,3,33000000
1005,13,2,9500000
757,13,1,7500000
585,13,1,31000000
1550,13,3,18200000
1050,13,2,11000000
1120,13,2,12200000
1485,13,3,19000000
1150,13,2,12000000
675,13,1,10700000
675,13,1,32599999
1350,13,3,37000000
1850,13,3,22200000
1270,13,2,19500000
1073,13,2,16500000
1250,13,2,14000000
400,13,1,9200000
1200,14,2,65000000
2350,15,4,85000000
2475,15,4,46500000
980,15,2,13000000
1836,15,3,5600000
1240,15,2,12700000
1150,16,2,12100000
650,16,1,6500000
566,16,1,6500000
1069,16,2,15000000
686,16,2,24000000
1069,16,2,15000000
686,16,2,24000000
2730,16,4,37000000
1361,16,2,36500000
1250,16,2,28000000
1850,16,3,37000000
1361,16,2,43000000
1850,16,3,37000000
1361,16,2,36500000
1250,16,2,28000000
1850,16,3,37000000
1361,16,2,43000000
1850,16,3,29000000
980,16,2,35000000
873,16,2,26000000
1230,16,3,26000000
1250,16,3,44000000
1721,16,3,11000000
2730,16,4,4050000
450,16,1,2425000
1100,16,2,10500000
950,16,2,16000000
950,16,2,8500000
580,16,1,2450000
640,16,1,3800000
600,16,1,6700000
850,16,2,9600000
750,16,2,7600000
354,16,1,9000000
510,16,1,6000000
850,16,2,16500000
890,16,2,7000000
820,16,2,9800000
595,16,1,10000000
780,16,2,14500000
1044,16,3,9500000
890,16,2,7000000
820,16,2,9800000
595,16,1,10000000
1196,16,3,16500000
560,16,2,13899999
720,16,2,14500000
721,16,2,16700000
620,16,1,18000000
1010,16,2,8000000
480,16,1,45199999
850,16,2,7500000
950,16,2,18500000
992,16,2,8400000
1984,16,4,16500000
850,16,2,20000000
685,16,1,11000000
850,16,2,11500000
650,16,1,20000000
950,16,2,6500000
1250,16,3,15600000
1196,16,3,16500000
1196,16,3,8400000
855,16,2,15500000
1196,16,3,2000000
1196,16,3,34500000
855,16,2,34000000
855,16,2,23500000
574,16,1,20000000
492,16,1,7000000
492,16,1,23500000
550,16,1,25800000
865,16,2,2804000
1200,16,2,18800000
1200,16,2,18800000
600,16,1,16299999
1300,16,3,91800000
600,16,1,2200000
566,16,1,6500000
793,16,2,10500000
600,16,1,5800000
580,16,1,14500000
1020,16,2,22000000
580,16,1,2200000
580,16,1,8600000
590,16,1,11500000
785,16,2,14200000
580,16,1,14500000
1020,16,2,8000000
780,16,2,37500000
815,16,2,12500000
485,16,1,14000000
600,16,1,21500000
1300,16,3,29500000
1050,16,2,4850000
1026,16,2,46500000
792,16,2,4800000
1026,16,2,25800000
927,16,2,13000000
650,16,1,8000000
1000,16,2,14500000
1100,16,2,8500000
560,16,1,15200000
550,16,1,11500000
1200,16,3,15500000
410,16,1,9000000
585,16,1,10000000
610,16,1,8000000
610,16,1,15000000
410,16,1,9000000
585,16,1,10000000
610,16,1,8000000
610,16,1,15000000
490,16,1,11700000
680,16,2,8200000
550,16,1,11500000
625,16,1,18000000
990,16,2,8200000
550,16,1,14000000
800,16,2,21800000
1500,16,3,38000000
400,16,1,7500000
650,16,1,18000000
550,16,1,12700000
500,16,1,9600000
560,16,1,6000000
560,16,1,6000000
800,16,2,55000000
1050,17,2,18500000
1250,17,2,21000000
1050,17,2,15000000
1050,17,2,18500000
1250,17,2,21000000
1050,17,2,15000000
1050,17,2,16500000
1350,17,3,28500000
1050,17,2,19000000
950,17,2,15000000
1300,17,3,24000000
600,17,1,11200000
1500,17,3,23000000
1050,17,2,15500000
1100,17,3,23000000
1050,17,2,16500000
1050,17,2,18000000
1050,17,2,15000000
950,17,2,17500000
1250,17,3,19500000
1200,17,3,19500000
850,17,2,16000000
1300,17,3,15000000
950,17,2,9800000
1300,17,3,15000000
950,17,2,9800000
375,18,1,2018000
2115,18,3,10000000
1595,18,2,90000000
1503,18,2,11700000
929,18,2,5000000
791,18,2,16000000
