Area,Location,No. of Bedrooms,Price
710,Badlapur,1,3615000
1040,Badlapur,2,3999000
1025,Badlapur,2,3700000
1025,Badlapur,2,2750000
730,Badlapur,1,41900000
610,Badlapur,1,13500000
655,Badlapur,1,2150000
655,Badlapur,1,2150000
655,Badlapur,1,2250000
655,Badlapur,1,2400000
920,Badlapur,2,2399000
700,Badlapur,1,2000000
655,Badlapur,1,3200000
820,Badlapur,2,3600000
920,Badlapur,2,2650000
510,Badlapur,1,3565999
703,Badlapur,2,4267000
841,Badlapur,2,4427000
873,Badlapur,2,3872000
762,Badlapur,2,3125000
615,Badlapur,1,2725000
535,Badlapur,1,3811999
750,Badlapur,2,4052000
798,Badlapur,2,2950000
580,Badlapur,1,2575000
505,Badlapur,1,6800000
972,Badlapur,2,3100000
672,Badlapur,1,8500000
655,Badlapur,1,22000000
930,Badlapur,2,13000000
450,Badlapur,1,3800000
715,Badlapur,1,3682000
715,Badlapur,1,3682000
620,Badlapur,1,2399000
670,Badlapur,1,3500000
545,Badlapur,1,2077000
620,Badlapur,1,10000000
690,Badlapur,1,3750000
700,Badlapur,1,3100000
650,Badlapur,1,9800000
1141,Bandra Kurla Complex,3,72000000
440,Bandra Kurla Complex,1,66600000
1305,Bandra Kurla Complex,2,60000000
1750,Bandra Kurla Complex,3,250000000
425,Bandra Kurla Complex,1,7598999
425,Bandra Kurla Complex,1,35000000
425,Bandra Kurla Complex,1,2600000
1500,Bandra Kurla Complex,2,6500000
1150,Bandra Kurla Complex,2,115000000
1100,Bandra Kurla Complex,2,2400000
1980,Bandra Kurla Complex,3,4425000
1700,Bandra Kurla Complex,3,4489000
3000,Bandra Kurla Complex,4,6998999
838,Bandra Kurla Complex,2,7100000
2000,Bandra Kurla Complex,3,16399999
5200,Bandra Kurla Complex,5,8200000
832,Bandra Kurla Complex,2,36500000
965,Bandra Kurla Complex,3,25200000
3100,Bandra Kurla Complex,4,15500000
850,Bandra Kurla Complex,2,30000000
850,Bandra Kurla Complex,2,25000000
2893,Bandra Kurla Complex,4,6500000
1900,Bandra Kurla Complex,3,72500000
1750,Bandra Kurla Complex,3,75000000
1000,Bandra Kurla Complex,2,26000000
1800,Bandra Kurla Complex,3,14500000
750,Bandra Kurla Complex,2,7500000
750,Bandra Kurla Complex,2,8500000
550,Bandra Kurla Complex,1,8700000
1824,Bandra Kurla Complex,3,70000000
1824,Bandra Kurla Complex,3,70000000
1824,Bandra Kurla Complex,3,16000000
1118,Bandra Kurla Complex,3,110000000
833,Bandra Kurla Complex,2,84500000
1409,Bandra Kurla Complex,3,30200000
1200,Bandra Kurla Complex,2,9500000
2255,Bandra Kurla Complex,3,52400000
1182,Bandra Kurla Complex,2,19400000
550,Bandra Kurla Complex,1,16000000
2150,Bandra Kurla Complex,4,17000000
2000,Bandra Kurla Complex,4,17000000
2200,Bandra Kurla Complex,3,10500000
3000,Bandra Kurla Complex,2,2576000
1050,Belapur,2,13500000
1335,Belapur,2,18000000
1267,Belapur,3,19000000
5000,Belapur,5,5700000
1127,Belapur,2,41500000
1020,Belapur,2,3700000
1600,Belapur,3,8000000
1300,Belapur,2,16200000
1000,Belapur,2,2210000
1020,Belapur,2,3700000
1000,Belapur,2,6000000
2200,Belapur,3,9000000
1900,Belapur,3,26000000
1900,Belapur,3,94900000
1800,Belapur,3,11399999
1090,Belapur,2,2250000
1335,Belapur,2,40000000
1335,Belapur,2,5000000
1550,Belapur,3,9300000
1350,Belapur,2,4800000
1650,Belapur,3,8500000
1550,Belapur,3,3325000
1550,Belapur,3,3325000
1350,Belapur,3,3500000
1001,Belapur,2,2150000
1800,Belapur,3,3400000
1225,Belapur,2,9800000
1850,Belapur,3,14800000
1850,Belapur,3,2200000
1850,Belapur,3,24000000
1182,Belapur,2,11500000
1182,Belapur,2,11500000
425,Bhandup West,1,5500000
543,Bhandup West,1,6800000
640,Bhandup West,2,13500000
510,Bhandup West,1,5500000
800,Bhandup West,2,14000000
550,Bhandup West,2,9000000
556,Bhandup West,1,15500000
775,Bhandup West,1,21500000
1225,Bhandup West,3,6500000
565,Bhandup West,1,7800000
650,Bhandup West,1,8500000
555,Bhandup West,1,2900000
1740,Bhandup West,3,4500000
1015,Bhandup West,3,54200000
1145,Bhandup West,3,50800000
1815,Bhandup West,4,36000000
1264,Bhandup West,3,6998999
2066,Bhandup West,3,16000000
2066,Bhandup West,3,16000000
2065,Bhandup West,3,55599999
3181,Bhandup West,4,9499000
2065,Bhandup West,3,55599999
3181,Bhandup West,4,9499000
1865,Bhandup West,3,14800000
1200,Bhandup West,2,9500000
2000,Bhandup West,3,59600000
3975,Bhandup West,4,45700000
3050,Bhandup West,4,23700000
1585,Bhandup West,2,26200000
1750,Bhandup West,3,22100000
1475,Bhandup West,2,30900000
2065,Bhandup West,3,4900000
575,Bhandup West,1,2300000
2000,Bhandup West,3,22100000
3975,Bhandup West,4,30900000
3050,Bhandup West,4,27900000
1585,Bhandup West,2,8950000
1750,Bhandup West,3,16500000
1475,Bhandup West,2,17500000
2065,Bhandup West,3,4799000
1865,Bhandup West,3,6000000
1144,Bhandup West,3,55000000
650,Bhandup West,1,14500000
360,Bhayandar East,1,2600000
560,Bhayandar East,1,22000000
1040,Bhayandar East,2,5160000
645,Bhayandar East,1,3500000
600,Bhayandar East,1,3000000
600,Bhayandar East,1,8100000
600,Bhayandar East,1,10500000
999,Bhayandar East,2,5518000
945,Bhayandar East,2,8000000
945,Bhayandar East,2,12900000
715,Bhayandar East,1,7800000
675,Bhayandar East,1,2500000
650,Bhayandar East,1,8500000
365,Bhayandar East,1,2600000
730,Bhayandar East,2,13000000
450,Bhayandar East,1,11800000
750,Bhayandar East,2,2910000
645,Bhayandar East,1,7500000
568,Bhiwandi,2,4000000
802,Bhiwandi,2,6952000
829,Bhiwandi,2,6137000
1227,Bhiwandi,3,8600000
1108,Bhiwandi,3,8100000
1032,Bhiwandi,2,8100000
985,Bhiwandi,2,7500000
880,Bhiwandi,2,6800000
829,Bhiwandi,2,6200000
802,Bhiwandi,2,5600000
1530,Bhiwandi,3,9167000
1490,Bhiwandi,3,7881000
1295,Bhiwandi,2,5686000
1017,Bhiwandi,2,10500000
600,Bhiwandi,1,4500000
657,Bhiwandi,1,5690000
1332,Bhiwandi,3,13500000
1491,Bhiwandi,3,9200000
1017,Bhiwandi,2,5800000
927,Bhiwandi,2,5800000
1017,Bhiwandi,2,3700000
1021,Bhiwandi,2,8000000
1021,Bhiwandi,2,7500000
1017,Bhiwandi,2,5800000
1080,Bhiwandi,2,8000000
1080,Bhiwandi,2,5000000
1080,Bhiwandi,2,8200000
1080,Bhiwandi,2,14000000
780,Boisar,2,65000000
780,Boisar,2,8500000
780,Boisar,2,2000000
780,Boisar,2,28000000
780,Boisar,2,2000000
780,Boisar,2,2000000
780,Boisar,2,2000000
780,Boisar,2,2000000
780,Boisar,2,2000000
780,Boisar,2,2000000
780,Boisar,2,2000000
780,Boisar,2,14500000
750,Boisar,2,15500000
810,Boisar,3,22500000
750,Boisar,2,15500000
550,Boisar,2,23500000
550,Boisar,2,2582000
630,Boisar,2,14200000
570,Boisar,1,8500000
1380,Boisar,3,4500000
930,Boisar,2,3350000
1160,Boisar,3,2500000
930,Boisar,2,3500000
1120,Boisar,2,2900000
1160,Boisar,3,2150000
820,Boisar,2,3100000
795,Boisar,2,32500000
